Vitenskapelig navn;Norsk navn;Artsgruppe;Norge/Svalbard;Definisjonsavgrensning;Risiko;TaxonId
Reynoutria ◊bohemica;hybridslirekne;Karplanter;N;Fremmed art;SE - Svært høy risiko;86677
Ribes rubrum;hagerips;Karplanter;N;Fremmed art;SE - Svært høy risiko;63574
Rosa rugosa;rynkerose;Karplanter;N;Fremmed art;SE - Svært høy risiko;63363
Salix euxina;skjørpil;Karplanter;N;Fremmed art;SE - Svært høy risiko;86666
Salix ◊fragilis;grønnpil;Karplanter;N;Fremmed art;SE - Svært høy risiko;86665
Sargassum muticum;japansk drivtang;Alger;N;Fremmed art;SE - Svært høy risiko;66868
Solidago canadensis;kanadagullris;Karplanter;N;Fremmed art;SE - Svært høy risiko;60776
Sorbus intermedia;svensk asal;Karplanter;N;Fremmed art;SE - Svært høy risiko;63447
Sorbus mougeotii;alpeasal;Karplanter;N;Fremmed art;SE - Svært høy risiko;63453
Suillus grevillei;lerkesopp;Sopper;N;Fremmed art;SE - Svært høy risiko;38890
Sus scrofa;villsvin;Pattedyr;N;Fremmed art;SE - Svært høy risiko;31237
Swida sericea;alaskakornell;Karplanter;N;Fremmed art;SE - Svært høy risiko;61632
Thymus praecox praecox;hagekryptimian;Karplanter;N;Fremmed art;SE - Svært høy risiko;62346
Tinca tinca;suter;Fisker;N;Fremmed art;SE - Svært høy risiko;26120
Tricholoma psammopus;lerkemusserong;Sopper;N;Fremmed art;SE - Svært høy risiko;38366
Tsuga heterophylla;vestamerikansk hemlokk;Karplanter;N;Fremmed art;SE - Svært høy risiko;63791
Vinca minor;gravmyrt;Karplanter;N;Fremmed art;SE - Svært høy risiko;62127
Vincetoxicum rossicum;russesvalerot;Karplanter;N;Fremmed art;SE - Svært høy risiko;62130
Viola odorata;marsfiol;Karplanter;N;Fremmed art;SE - Svært høy risiko;62761
